"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"Gabriel Pereira","female",15,"urban","more than 3","living together","higher","higher","teacher","health","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","average","average","average","very low","low","bad",0,10,8,9
"Gabriel Pereira","female",15,"urban","more than 3","living together","primary higher","primary","services","other","reputation","father","30-60 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","low","low","very low","very low","good",4,10,12,12
"Gabriel Pereira","male",15,"urban","less or equal to 3","living together","higher","higher","health","services","course","father","0-15 min","0-2 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","average","average","very low","average","very good",2,14,14,14
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","secondary","teacher","other","course","mother","15-30 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","very high","high","average","very low","low","average",2,10,10,11
"Gabriel Pereira","male",15,"urban","more than 3","living apart","primary higher","primary higher","other","other","home","other","0-15 min","5-10 hours",0,"no","yes","no","no","yes","yes","yes","yes","high","very high","low","very low","very low","average",0,14,16,16
"Gabriel Pereira","female",17,"urban","more than 3","living together","higher","higher","health","other","home","mother","0-15 min","0-2 hours",0,"no","yes","no","no","yes","yes","yes","no","high","high","high","very low","low","bad",4,14,14,14
"Gabriel Pereira","female",17,"urban","more than 3","living together","higher","higher","services","services","reputation","mother","0-15 min","5-10 hours",0,"no","yes","yes","yes","yes","yes","yes","no","average","low","average","very low","low","bad",6,13,14,14
"Gabriel Pereira","female",16,"urban","more than 3","living together","secondary","secondary","other","other","reputation","mother","30-60 min","2-5 hours",0,"yes","yes","no","yes","yes","yes","no","no","very high","average","low","very low","very low","good",4,8,10,10
"Gabriel Pereira","male",17,"urban","more than 3","living together","secondary","primary higher","services","services","course","mother","0-15 min","0-2 hours",3,"no","yes","no","yes","yes","yes","yes","no","very high","very high","very high","low","high","very good",16,6,5,5
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","higher","secondary","health","other","home","father","0-15 min","0-2 hours",0,"no","no","yes","yes","yes","yes","yes","no","average","very low","average","very low","average","very good",4,8,10,10
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","secondary","teacher","other","reputation","mother","0-15 min","2-5 hours",0,"no","no","no","no","yes","yes","yes","no","high","high","very low","very low","very low","very bad",0,13,14,15
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","higher","health","health","other","father","0-15 min","0-2 hours",0,"no","yes","yes","no","yes","yes","yes","no","very high","high","low","very low","very low","very good",0,12,15,15
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","higher","primary higher","teacher","other","course","mother","0-15 min","2-5 hours",0,"no","no","no","yes","yes","yes","yes","no","high","very high","very low","very low","average","very good",2,15,15,16
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","primary higher","primary higher","other","other","reputation","mother","15-30 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","high","high","low","high","very good",0,13,13,12
"Gabriel Pereira","female",15,"rural","more than 3","living together","primary higher","higher","services","health","course","mother","0-15 min","5-10 hours",0,"yes","yes","yes","yes","yes","yes","yes","no","high","average","low","very low","very low","very good",2,10,9,8
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary higher","primary higher","services","services","home","mother","0-15 min","0-2 hours",2,"no","yes","yes","no","no","yes","yes","no","very low","low","low","very low","average","very good",14,6,9,8
"Gabriel Pereira","male",15,"urban","more than 3","living together","primary higher","primary higher","other","other","home","mother","0-15 min","0-2 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","low","low","very low","low","very good",2,12,12,11
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","primary higher","health","services","other","mother","0-15 min","0-2 hours",0,"no","no","yes","no","yes","yes","yes","no","low","low","high","low","high","very bad",4,15,16,15
"Gabriel Pereira","male",16,"urban","less or equal to 3","living apart","secondary","higher","services","other","home","mother","0-15 min","2-5 hours",0,"yes","yes","no","yes","yes","yes","yes","no","very high","average","average","very low","very low","very good",4,11,11,11
"Gabriel Pereira","male",16,"urban","more than 3","living together","higher","higher","teacher","teacher","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","high","high","very high","very high","very high","very good",16,10,12,11
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","higher","health","services","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","no","yes","yes","no","very high","high","low","average","high","very good",0,9,11,12
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","higher","services","services","reputation","mother","15-30 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","high","average","very low","very low","very low","very good",0,17,16,17
"Gabriel Pereira","male",15,"rural","more than 3","living together","higher","secondary","teacher","at_home","course","mother","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","yes","high","very high","low","very low","very low","very good",0,17,16,16
"Gabriel Pereira","male",15,"urban","less or equal to 3","living together","secondary","secondary","other","other","course","mother","0-15 min","2-5 hours",0,"no","no","no","yes","no","yes","yes","no","very high","average","low","very low","very low","bad",0,8,10,12
"Gabriel Pereira","male",16,"urban","more than 3","living together","secondary","primary higher","other","other","home","mother","0-15 min","0-2 hours",0,"no","yes","yes","no","no","yes","yes","no","very high","high","average","very low","very low","very good",0,12,14,15
"Gabriel Pereira","female",15,"urban","more than 3","living together","primary higher","secondary","other","other","other","father","15-30 min","0-2 hours",0,"no","yes","no","yes","yes","yes","no","no","average","very high","very low","very low","very low","very good",0,8,7,6
"Gabriel Pereira","male",15,"urban","less or equal to 3","living together","higher","secondary","teacher","services","home","mother","0-15 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","high","average","very low","very low","good",2,15,16,18
"Gabriel Pereira","male",16,"rural","more than 3","living apart","higher","higher","other","teacher","reputation","mother","15-30 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","yes","low","high","average","very low","very low","very good",7,15,16,15
"Gabriel Pereira","female",15,"rural","more than 3","living together","secondary","higher","services","health","course","mother","0-15 min","5-10 hours",0,"yes","yes","yes","yes","yes","yes","yes","no","high","average","low","very low","very low","very good",2,12,12,11
"Gabriel Pereira","female",17,"rural","more than 3","living together","primary higher","primary higher","at_home","other","reputation","mother","0-15 min","0-2 hours",0,"yes","yes","yes","yes","yes","yes","no","no","high","average","very low","very low","very low","bad",8,14,13,13
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","primary higher","primary higher","other","other","home","mother","15-30 min","2-5 hours",1,"no","yes","no","yes","no","yes","yes","yes","average","average","average","very low","low","average",25,7,10,11
"Gabriel Pereira","male",15,"urban","less or equal to 3","living together","higher","higher","teacher","other","home","other","0-15 min","0-2 hours",0,"no","yes","no","no","no","yes","yes","yes","very high","high","average","low","high","very good",8,12,12,12
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","higher","services","teacher","course","father","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","high","average","average","very low","very low","very good",2,19,18,18
"Gabriel Pereira","male",15,"urban","more than 3","living together","primary higher","primary higher","services","services","course","father","0-15 min","0-2 hours",0,"yes","yes","no","no","yes","yes","yes","no","very high","high","very low","very low","very low","very bad",0,8,8,11
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","primary higher","primary higher","other","at_home","course","father","15-30 min","2-5 hours",1,"yes","no","no","yes","yes","yes","yes","no","high","average","average","low","low","very good",14,10,10,9
"Gabriel Pereira","female",15,"urban","less or equal to 3","living apart","higher","secondary","other","other","course","mother","0-15 min","2-5 hours",0,"yes","yes","yes","yes","yes","yes","yes","yes","very high","low","low","very low","very low","very good",8,8,8,6
"Gabriel Pereira","female",16,"urban","less or equal to 3","living apart","secondary","secondary","other","services","home","mother","0-15 min","2-5 hours",0,"no","yes","no","no","yes","yes","yes","no","low","average","very high","very low","high","average",12,11,12,11
"Gabriel Pereira","male",16,"urban","more than 3","living together","higher","secondary","health","services","reputation","mother","0-15 min","above 10 hours",0,"no","no","no","yes","yes","yes","yes","no","high","low","low","very low","very low","bad",4,19,19,20
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","primary higher","teacher","other","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","no","no","high","average","average","low","low","very good",2,15,15,14
"Gabriel Pereira","female",15,"urban","more than 3","living together","higher","higher","services","teacher","other","father","0-15 min","2-5 hours",1,"yes","yes","no","yes","no","yes","yes","no","high","high","high","very low","very low","average",2,7,7,7
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","primary higher","primary higher","services","services","course","mother","30-60 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","average","average","low","average","good",2,12,13,13
"Gabriel Pereira","female",15,"urban","less or equal to 3","living together","higher","primary higher","health","other","other","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","average","average","very low","very low","very good",2,11,13,13
"Gabriel Pereira","male",15,"urban","less or equal to 3","living apart","higher","primary higher","health","health","other","father","15-30 min","0-2 hours",1,"no","no","no","no","yes","yes","no","no","very high","very high","very high","average","high","very good",6,11,11,10
"Gabriel Pereira","female",15,"urban","more than 3","living together","higher","higher","services","services","course","mother","0-15 min","0-2 hours",0,"yes","yes","yes","no","yes","yes","yes","no","average","average","high","low","average","very good",0,8,10,11
"Gabriel Pereira","female",15,"urban","less or equal to 3","living apart","secondary","secondary","other","other","other","mother","0-15 min","0-2 hours",0,"no","no","yes","no","yes","yes","yes","no","very high","average","high","high","high","very bad",6,10,13,13
"Gabriel Pereira","female",16,"urban","more than 3","living apart","primary higher","primary","other","other","other","mother","0-15 min","2-5 hours",0,"no","no","yes","yes","yes","yes","yes","yes","very high","average","high","very low","very low","bad",8,8,9,10
"Gabriel Pereira","female",15,"urban","more than 3","living apart","higher","secondary","services","services","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","average","low","very low","very low","very bad",0,14,15,15
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","higher","teacher","health","reputation","mother","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","no","no","average","low","low","very low","very low","very good",4,14,15,15
"Gabriel Pereira","male",15,"urban","less or equal to 3","living together","primary","primary higher","other","at_home","home","father","0-15 min","2-5 hours",0,"yes","yes","no","yes","yes","yes","yes","no","high","average","low","very low","very low","very good",2,9,10,9
"Gabriel Pereira","female",16,"urban","more than 3","living together","higher","primary higher","services","other","course","mother","0-15 min","2-5 hours",0,"no","yes","no","no","yes","yes","yes","no","high","low","average","very low","very low","very good",2,15,16,16
"Gabriel Pereira","female",16,"rural","more than 3","living together","higher","higher","health","teacher","other","mother","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","no","no","low","high","high","low","average","good",6,10,11,11
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary","primary","services","services","course","father","above 60 min","0-2 hours",0,"yes","yes","no","yes","no","yes","yes","yes","very high","very high","very high","very high","very high","very good",6,10,8,11
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","primary","primary higher","other","services","reputation","father","0-15 min","2-5 hours",0,"yes","no","no","yes","yes","yes","yes","no","high","high","average","very low","very low","very bad",4,8,10,9
"Gabriel Pereira","female",16,"urban","more than 3","living together","higher","secondary","teacher","health","home","mother","0-15 min","5-10 hours",0,"yes","yes","yes","yes","yes","yes","yes","no","average","high","high","low","high","good",2,10,9,9
"Gabriel Pereira","female",15,"urban","less or equal to 3","living together","higher","secondary","services","services","reputation","father","0-15 min","2-5 hours",0,"yes","no","no","yes","yes","yes","yes","yes","high","high","high","low","high","bad",0,10,10,10
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","higher","secondary","teacher","services","course","mother","30-60 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","high","average","very low","low","very bad",2,16,15,15
"Gabriel Pereira","male",15,"urban","more than 3","living apart","higher","higher","other","services","reputation","mother","0-15 min","above 10 hours",0,"no","yes","no","yes","no","yes","yes","yes","very low","average","average","very high","very high","average",4,13,13,12
"Gabriel Pereira","female",16,"urban","more than 3","living together","secondary","primary","services","other","course","mother","0-15 min","above 10 hours",0,"yes","yes","yes","no","yes","yes","yes","no","high","average","average","very low","low","very good",4,7,7,6
"Gabriel Pereira","female",15,"rural","less or equal to 3","living together","primary higher","primary higher","health","services","reputation","mother","15-30 min","2-5 hours",0,"yes","yes","yes","no","yes","yes","yes","no","high","very low","average","very low","average","good",2,8,9,8
"Gabriel Pereira","female",15,"rural","less or equal to 3","living together","secondary","primary","other","other","reputation","father","15-30 min","above 10 hours",0,"no","yes","no","no","no","yes","yes","no","high","high","low","low","average","average",12,16,16,16
"Gabriel Pereira","male",16,"urban","more than 3","living together","secondary","primary","other","other","reputation","father","15-30 min","above 10 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","average","low","very low","very low","very good",0,13,15,15
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","primary higher","other","other","course","mother","0-15 min","above 10 hours",0,"no","no","no","no","yes","yes","yes","no","average","average","average","very low","very low","average",0,10,10,10
"Gabriel Pereira","female",15,"rural","more than 3","living together","primary","primary","other","other","reputation","mother","0-15 min","2-5 hours",2,"yes","yes","no","no","no","yes","yes","yes","average","average","high","low","high","very good",2,8,6,5
"Gabriel Pereira","male",16,"urban","more than 3","living together","secondary","primary","other","other","reputation","mother","0-15 min","0-2 hours",0,"no","no","no","yes","yes","yes","no","no","very high","average","low","low","low","very good",2,12,12,14
"Gabriel Pereira","female",16,"urban","more than 3","living together","secondary","secondary","other","services","home","mother","0-15 min","2-5 hours",0,"yes","yes","yes","yes","yes","yes","yes","no","high","average","average","low","high","very good",54,11,12,11
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","secondary","teacher","other","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","average","average","low","average","very good",6,9,9,10
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","none","teacher","other","course","mother","15-30 min","above 10 hours",0,"no","no","no","yes","yes","yes","yes","no","average","high","average","very low","very low","very bad",8,11,11,10
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary higher","primary higher","other","other","reputation","mother","0-15 min","above 10 hours",0,"no","no","yes","no","yes","yes","yes","yes","very high","low","average","very low","average","average",0,11,11,11
"Gabriel Pereira","male",17,"urban","more than 3","living together","primary higher","primary","other","other","home","mother","15-30 min","0-2 hours",3,"yes","yes","no","yes","yes","no","yes","no","high","very high","very low","very low","very low","average",2,8,8,10
"Gabriel Pereira","female",16,"urban","more than 3","living together","secondary","higher","at_home","other","course","mother","0-15 min","2-5 hours",0,"no","yes","no","no","yes","yes","yes","no","low","high","average","very low","low","average",12,5,5,5
"Gabriel Pereira","male",15,"urban","more than 3","living together","primary higher","secondary","other","services","course","father","0-15 min","0-2 hours",0,"yes","yes","yes","yes","no","yes","yes","yes","average","low","low","very low","average","average",2,10,12,12
"Gabriel Pereira","male",15,"urban","more than 3","living together","primary higher","secondary","other","other","home","mother","0-15 min","5-10 hours",0,"yes","no","yes","no","no","yes","yes","no","very high","average","low","very low","low","very good",4,11,10,11
"Gabriel Pereira","female",15,"urban","less or equal to 3","living together","secondary","primary higher","services","other","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","high","high","very low","very low","very good",10,7,6,6
"Gabriel Pereira","male",15,"urban","less or equal to 3","living together","primary higher","primary higher","services","services","home","mother","15-30 min","2-5 hours",0,"no","no","yes","yes","yes","yes","yes","no","very high","average","average","very low","average","good",4,15,15,15
"Gabriel Pereira","female",15,"urban","more than 3","living together","primary","primary","other","other","home","father","0-15 min","2-5 hours",0,"no","yes","no","yes","no","yes","yes","no","high","average","low","low","average","good",2,9,10,10
"Gabriel Pereira","female",15,"urban","more than 3","living together","higher","higher","services","services","reputation","father","15-30 min","2-5 hours",2,"no","no","yes","no","yes","yes","yes","yes","high","high","high","low","average","very good",6,7,9,8
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","primary higher","primary higher","at_home","other","course","mother","0-15 min","2-5 hours",0,"no","yes","no","no","yes","yes","no","no","high","average","high","very low","low","bad",4,8,7,6
"Gabriel Pereira","female",15,"urban","more than 3","living together","higher","primary higher","other","other","reputation","mother","0-15 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","average","average","very low","average","very bad",4,13,14,14
"Gabriel Pereira","male",16,"urban","more than 3","living together","primary higher","primary higher","services","other","reputation","father","15-30 min","2-5 hours",1,"no","no","yes","yes","no","yes","yes","no","high","high","low","very low","very low","average",12,11,10,10
"Gabriel Pereira","male",16,"urban","less or equal to 3","living apart","higher","higher","teacher","health","reputation","mother","0-15 min","2-5 hours",0,"no","yes","no","no","yes","yes","no","no","high","very low","average","average","very high","very good",18,8,6,7
"Gabriel Pereira","female",16,"urban","more than 3","living together","secondary","secondary","other","other","home","mother","0-15 min","5-10 hours",0,"no","yes","yes","no","yes","yes","yes","yes","high","average","average","very low","average","good",0,7,7,8
"Gabriel Pereira","female",15,"urban","more than 3","living together","higher","secondary","services","other","reputation","mother","0-15 min","0-2 hours",0,"no","no","yes","yes","yes","yes","yes","no","high","very high","very high","very low","average","very bad",4,16,17,18
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","secondary","primary","other","other","home","father","0-15 min","2-5 hours",0,"yes","yes","no","no","yes","yes","no","no","average","average","average","low","average","bad",4,7,6,6
"Gabriel Pereira","female",16,"urban","more than 3","living together","higher","primary higher","teacher","services","home","mother","15-30 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","very high","average","average","very low","very low","very bad",0,11,10,10
"Gabriel Pereira","male",15,"urban","less or equal to 3","living together","primary higher","primary higher","services","health","reputation","mother","0-15 min","above 10 hours",0,"no","yes","no","yes","yes","yes","yes","no","high","average","high","very low","very low","good",6,11,13,14
"Gabriel Pereira","female",15,"rural","more than 3","living together","primary","primary","at_home","other","home","mother","15-30 min","above 10 hours",1,"yes","yes","yes","yes","yes","yes","yes","no","average","very low","low","very low","very low","very bad",2,7,10,10
"Gabriel Pereira","male",17,"rural","more than 3","living together","higher","secondary","services","other","reputation","mother","15-30 min","0-2 hours",0,"yes","yes","no","yes","no","yes","yes","no","average","average","average","very low","very low","good",2,11,15,15
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary higher","primary","other","other","course","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","no","yes","high","average","very high","very low","very low","very good",2,8,9,10
"Gabriel Pereira","female",16,"urban","more than 3","living together","higher","higher","other","other","reputation","mother","0-15 min","0-2 hours",0,"no","no","no","yes","no","yes","yes","no","very high","average","high","very low","low","very bad",6,11,14,14
"Gabriel Pereira","female",16,"urban","more than 3","living together","higher","secondary","other","at_home","course","mother","0-15 min","5-10 hours",0,"yes","yes","yes","no","yes","yes","yes","no","very high","average","very high","very low","very low","average",0,7,9,8
"Gabriel Pereira","male",16,"urban","more than 3","living together","higher","higher","services","services","other","mother","0-15 min","0-2 hours",0,"yes","yes","yes","yes","yes","yes","yes","no","high","very high","very high","very high","very high","good",14,7,7,5
"Gabriel Pereira","male",16,"urban","more than 3","living together","higher","higher","services","teacher","other","father","0-15 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","yes","high","high","average","very low","very low","good",0,16,17,17
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","higher","services","other","course","mother","0-15 min","0-2 hours",0,"no","yes","no","yes","no","yes","yes","no","very high","average","average","very low","very low","very good",4,10,13,14
"Gabriel Pereira","female",15,"urban","more than 3","living together","secondary","primary higher","services","other","home","mother","15-30 min","2-5 hours",0,"yes","yes","yes","no","yes","yes","yes","no","high","average","very high","very low","very low","bad",26,7,6,6
"Gabriel Pereira","male",15,"urban","more than 3","living apart","secondary","higher","services","other","course","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","very high","high","high","very low","very low","very bad",0,16,18,18
"Gabriel Pereira","female",15,"urban","more than 3","living apart","secondary","secondary","other","health","reputation","father","0-15 min","above 10 hours",0,"yes","no","no","no","yes","yes","no","no","high","average","average","very low","very low","good",10,10,11,11
"Gabriel Pereira","female",15,"urban","more than 3","living together","primary higher","primary higher","other","other","course","mother","0-15 min","above 10 hours",0,"yes","yes","yes","no","yes","yes","yes","no","very high","very low","low","very low","very low","average",8,7,8,8
"Gabriel Pereira","male",16,"urban","more than 3","living together","secondary","secondary","services","other","home","father","0-15 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","average","average","very low","very low","very good",2,16,18,18
"Gabriel Pereira","male",15,"rural","more than 3","living together","higher","higher","other","other","home","father","above 60 min","above 10 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","very low","average","very high","average","very high","very bad",6,10,13,13
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","higher","higher","health","health","other","mother","0-15 min","5-10 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","very high","high","very high","very low","very low","good",4,14,15,16
"Gabriel Pereira","male",15,"urban","less or equal to 3","living apart","higher","higher","teacher","teacher","course","mother","0-15 min","0-2 hours",0,"no","no","no","yes","yes","yes","yes","no","very high","very high","average","very low","very low","good",6,18,19,19
"Gabriel Pereira","female",16,"rural","more than 3","living together","secondary","secondary","services","other","reputation","father","0-15 min","5-10 hours",1,"yes","yes","no","yes","yes","yes","yes","no","high","very low","low","very low","very low","bad",0,7,10,10
"Gabriel Pereira","female",17,"urban","more than 3","living together","primary higher","primary higher","at_home","other","home","mother","0-15 min","2-5 hours",1,"yes","no","no","yes","yes","yes","yes","no","average","very low","low","very low","very low","very good",6,10,13,13
"Gabriel Pereira","male",15,"urban","less or equal to 3","living together","higher","primary higher","teacher","other","course","mother","0-15 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","no","average","very high","low","very low","very low","average",10,18,19,19
"Gabriel Pereira","male",15,"rural","more than 3","living together","primary higher","primary","health","services","reputation","mother","0-15 min","2-5 hours",0,"no","no","no","yes","yes","yes","yes","yes","very high","high","low","very low","very low","very good",8,9,9,9
"Gabriel Pereira","male",16,"urban","more than 3","living together","higher","higher","teacher","teacher","course","father","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","very high","high","high","very low","low","very good",2,15,15,16
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","higher","other","teacher","reputation","father","15-30 min","2-5 hours",0,"no","yes","no","yes","yes","yes","no","no","high","high","average","very low","very low","bad",2,11,13,14
"Gabriel Pereira","male",16,"urban","more than 3","living together","secondary","secondary","other","services","home","father","15-30 min","0-2 hours",0,"no","no","no","yes","yes","yes","yes","no","very high","high","low","very low","very low","very good",0,13,14,13
"Gabriel Pereira","male",17,"rural","more than 3","living together","primary","secondary","other","other","course","father","30-60 min","2-5 hours",1,"no","yes","no","yes","yes","yes","yes","no","very high","low","high","very low","high","very good",20,9,7,8
"Gabriel Pereira","male",15,"urban","more than 3","living together","secondary","higher","other","other","reputation","father","0-15 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","no","average","high","average","very low","low","good",6,14,13,13
"Gabriel Pereira","female",15,"urban","more than 3","living together","primary","primary higher","at_home","services","course","mother","0-15 min","2-5 hours",0,"no","no","no","no","no","yes","yes","no","average","low","average","very low","low","very bad",2,16,15,15
"Gabriel Pereira","male",15,"urban","more than 3","living together","primary higher","primary higher","services","services","home","father","0-15 min","above 10 hours",0,"no","yes","yes","yes","yes","yes","yes","no","very high","very high","high","very low","low","very good",6,16,14,15
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","primary higher","higher","other","health","course","father","15-30 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","high","low","low","very low","low","very good",2,13,13,13
"Gabriel Pereira","male",16,"urban","more than 3","living together","higher","higher","health","other","course","mother","0-15 min","0-2 hours",0,"no","yes","no","yes","yes","yes","yes","no","average","high","high","very low","high","very good",18,14,11,13
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary higher","primary higher","other","other","home","mother","0-15 min","2-5 hours",0,"no","no","yes","no","yes","yes","yes","yes","very high","high","high","very low","very low","very good",0,8,7,8
"Gabriel Pereira","male",15,"urban","more than 3","living together","secondary","higher","services","services","home","father","0-15 min","0-2 hours",0,"yes","no","no","no","yes","yes","yes","no","very high","very high","very high","average","low","very good",0,13,13,12
"Gabriel Pereira","female",15,"urban","less or equal to 3","living apart","secondary","higher","other","other","home","mother","0-15 min","2-5 hours",0,"yes","no","no","yes","yes","yes","yes","yes","very high","average","low","very low","very low","very bad",0,7,10,11
"Gabriel Pereira","female",19,"urban","more than 3","living together","none","primary","at_home","other","course","other","0-15 min","2-5 hours",3,"no","yes","no","no","no","no","no","no","average","high","low","very low","very low","very good",2,7,8,9
"Gabriel Pereira","male",17,"rural","more than 3","living together","primary higher","primary higher","services","other","reputation","mother","0-15 min","0-2 hours",2,"no","yes","no","yes","yes","yes","yes","no","average","average","average","very low","low","good",0,7,4,0
"Gabriel Pereira","male",16,"rural","more than 3","living together","higher","higher","teacher","teacher","course","mother","0-15 min","0-2 hours",0,"no","no","yes","yes","yes","yes","yes","no","average","very high","very high","low","very high","good",8,18,18,18
